date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:18	315057/315057	---M--	200	added ('OK')	application/pdf	etag:%226e458-4ceb1-482a0024fb900%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/ICC2010.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/ICC2010.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:07:40	146832/146832	---M--	200	added ('OK')	application/pdf	etag:%226e461-23d90-483ae532f4e80%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/bk2.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/bk2.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:08:04	397020/397020	---M--	200	added ('OK')	application/pdf	etag:%226e464-60edc-488037a1f6580%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/TComm2010.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/TComm2010.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:08:09	335780/335780	---M--	200	added ('OK')	application/pdf	etag:%226e459-51fa4-483ae532f4e80%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/bk1.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/bk1.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:08:28	428683/428683	---M--	200	added ('OK')	application/pdf	etag:%226e457-68a8b-476bb1be81880%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/KHVRE.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/KHVRE.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:08:59	192575/192575	---M--	200	added ('OK')	application/pdf	etag:%225c485-2f03f-4829d45d66f00%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2009/ICASSP09.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2009/ICASSP09.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:09:04	343569/343569	---M--	200	added ('OK')	application/pdf	etag:%225c486-53e11-4829db0d3f5c0%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2009/ISIT09.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2009/ISIT09.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:09:47	263716/263716	---M--	200	added ('OK')	application/pdf	etag:%225c481-40624-46533e9609100%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2008/J36.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2008/J36.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:09:56	699398/699398	---M--	200	added ('OK')	application/pdf	etag:%225c487-aac06-4829f24397980%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2009/TMAG09.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2009/TMAG09.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
18:10:05	903087/903087	---M--	200	added ('OK')	application/pdf	etag:%226e465-dc7af-48804430cc640%22	http://www-ee.eng.hawaii.edu/~alek/Archive/2010/JSAC2010.pdf	/Users/pedrovmoura/Documents/Code/alek/alek/www-ee.eng.hawaii.edu/_alek/Archive/2010/JSAC2010.pdf	(from http://www-ee.eng.hawaii.edu/~alek/archive.html)
